gender,2. Current Level of Study,department,cgpa_range,parent_edu,financial_challenge,tech_access,infra_disruption,lecture_attendance,assignment_submission,study_hours,study_schedule,procrastination,peer_academic_focus,course_difficulty,distraction,stress_anxiety,missed_assessments,carryover_courses,academic_probation,considered_withdrawal,self_perf_rating,part_time_work,"24. If yes, approximately how many hours do you work per week?",extracurricular,willing_intervention,gender_code,cgpa_mid,financial_challenge_num,tech_access_num,infra_disruption_num,lecture_attendance_num,assignment_submission_num,procrastination_num,peer_academic_focus_num,course_difficulty_num,distraction_num,stress_anxiety_num,missed_assessments_num,study_hours_num,study_schedule_num,carryover_num,self_perf_num,parent_edu_bin,academic_probation_bin,considered_withdrawal_bin,part_time_work_bin,extracurricular_bin,willing_intervention_bin,faculty_code,risk_tier,work_hours_num,attendance_norm,submission_norm,study_hours_norm,schedule_norm,missed_norm,academic_engagement_score,financial_stress,tech_stress,infra_stress,work_stress,socioeconomic_stress,procrastination_risk,distraction_risk,stress_risk,behavioral_risk_score
Male,400 Level,Computer science ,Below 1.50,No,Strongly Agree,Neutral,Strongly Agree,Agree,Agree,3 – 4 hours,Often,Disagree,Agree,Strongly Agree,Neutral,Strongly Agree,Agree,More than 4,Yes,No,Fair,No,Not Applicable,No,Yes,1,1.0,5,3,5,4,4,2,4,5,3,5,4,,4,5.0,2,0,1,0,0,0,1,4,2,0.0,0.8,0.8,,0.8,0.19999999999999996,0.6500000000000001,1.0,0.4,1.0,0.0,0.6,0.4,0.6,1.0,0.6666666666666666
Female,200 Level,Software engineering ,3.50 – 4.49,Yes,Agree,Agree,Strongly Disagree,Neutral,Agree,3 – 4 hours,Never,Agree,Agree,Disagree,Neutral,Agree,Disagree,,No,No,Fair,No,Not Applicable,No,Yes,0,4.0,4,4,1,3,4,4,4,2,3,4,2,,1,0.0,2,1,0,0,0,0,1,2,0,0.0,0.6,0.8,,0.2,0.6,0.5499999999999999,0.8,0.19999999999999996,0.2,0.0,0.3,0.8,0.6,0.8,0.7333333333333334
Male,400 Level,Computer science,2.40 – 3.49,Yes,Agree,Disagree,Agree,Agree,Agree,1 – 2 hours,Sometimes,Agree,Agree,Disagree,Agree,Agree,Disagree,,No,No,Good,Yes,21 – 30 hours,No,Yes,1,2.95,4,2,4,4,4,4,4,2,4,4,2,,3,0.0,3,1,0,0,1,0,1,3,1,0.0,0.8,0.8,,0.6,0.6,0.7000000000000001,0.8,0.6,0.8,0.0,0.55,0.8,0.8,0.8,0.8000000000000002
Female,200 Level,Software engineering ,3.50 – 4.49,Yes,Agree,Strongly Disagree,Strongly Agree,Neutral,Neutral,1 – 2 hours,Sometimes,Agree,Neutral,Agree,Neutral,Agree,Disagree,,No,No,Fair,No,Not Applicable,No,Yes,0,4.0,4,1,5,3,3,4,3,4,3,4,2,,3,0.0,2,1,0,0,0,0,1,2,0,0.0,0.6,0.6,,0.6,0.6,0.6,0.8,0.8,1.0,0.0,0.65,0.8,0.6,0.8,0.7333333333333334
Male,200 Level,CSC,3.50 – 4.49,Yes,Neutral,Disagree,Neutral,Neutral,Agree,3 – 4 hours,Rarely,Strongly Agree,Agree,Neutral,Agree,Agree,Disagree,,No,No,Excellent,No,Not Applicable,No,Yes,1,4.0,3,2,3,3,4,5,4,3,4,4,2,,2,0.0,5,1,0,0,0,0,1,4,0,0.0,0.6,0.8,,0.4,0.6,0.6,0.6,0.6,0.6,0.0,0.44999999999999996,1.0,0.8,0.8,0.8666666666666667
Female,200 Level,Software engineering ,2.40 – 3.49,Yes,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,1 – 2 hours,Sometimes,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Disagree,,No,Yes,Poor,No,Not Applicable,No,Yes,0,2.95,5,5,5,3,3,4,4,4,5,5,2,,3,0.0,1,1,0,1,0,0,1,2,1,0.0,0.6,0.6,,0.6,0.6,0.6,1.0,0.0,1.0,0.0,0.5,0.8,1.0,1.0,0.9333333333333332
Female,200 Level,Cys ,1.50 – 2.39,Yes,Agree,Disagree,Disagree,Agree,Neutral,1 – 2 hours,Sometimes,Agree,Agree,Agree,Agree,Agree,Disagree,1 – 2,No,Yes,Poor,No,Not Applicable,No,Yes,0,1.95,4,2,2,4,3,4,4,4,4,4,2,,3,0.0,1,1,0,1,0,0,1,5,2,0.0,0.8,0.6,,0.6,0.6,0.65,0.8,0.6,0.4,0.0,0.44999999999999996,0.8,0.8,0.8,0.8000000000000002
Female,300 Level,AGAD,3.50 – 4.49,Yes,Neutral,Strongly Disagree,Neutral,Agree,Agree,3 – 4 hours,Often,Neutral,Neutral,Disagree,Strongly Agree,Neutral,Neutral,,No,No,Good,No,Not Applicable,No,Yes,0,4.0,3,1,3,4,4,3,3,2,5,3,3,,4,0.0,3,1,0,0,0,0,1,6,0,0.0,0.8,0.8,,0.8,0.4,0.7000000000000001,0.6,0.8,0.6,0.0,0.5,0.6,1.0,0.6,0.7333333333333334
Male,200 Level,Computer science ,2.40 – 3.49,Yes,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Less than 1 hour,Often,Agree,Neutral,Neutral,Strongly Agree,Strongly Agree,Neutral,,No,No,Fair,Yes,11 – 20 hours,No,Yes,1,2.95,5,5,5,4,5,4,3,3,5,5,3,0.5,4,0.0,2,1,0,0,1,0,1,4,1,0.0,0.8,1.0,0.07142857142857142,0.8,0.4,0.6142857142857143,1.0,0.0,1.0,0.0,0.5,0.8,1.0,1.0,0.9333333333333332
Female,300 Level,Computer Science ,2.40 – 3.49,Yes,Neutral,Strongly Agree,Agree,Strongly Agree,Strongly Agree,3 – 4 hours,Often,Neutral,Strongly Agree,Neutral,Neutral,Strongly Agree,Strongly Disagree,,No,No,Good,Yes,Less than 5 hours,No,Yes,0,2.95,3,5,4,5,5,3,5,3,3,5,1,,4,0.0,3,1,0,0,1,0,1,5,1,2.5,1.0,1.0,,0.8,0.8,0.8999999999999999,0.6,0.0,0.8,0.0625,0.365625,0.6,0.6,1.0,0.7333333333333334
Male,400 Level,Computer Science ,3.50 – 4.49,Yes,Agree,Agree,Strongly Agree,Strongly Agree,Agree,3 – 4 hours,Sometimes,Strongly Agree,Agree,Agree,Agree,Agree,Disagree,,No,No,Fair,No,Not Applicable,No,No,1,4.0,4,4,5,5,4,5,4,4,4,4,2,,3,0.0,2,1,0,0,0,0,0,5,0,0.0,1.0,0.8,,0.6,0.6,0.75,0.8,0.19999999999999996,1.0,0.0,0.5,1.0,0.8,0.8,0.8666666666666667
Female,300 Level,Biochemistry ,1.50 – 2.39,Yes,Strongly Agree,Strongly Disagree,Neutral,Agree,Agree,Less than 1 hour,Sometimes,Agree,Neutral,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,More than 4,No,No,Poor,Yes,21 – 30 hours,No,Yes,0,1.95,5,1,3,4,4,4,3,5,1,5,4,0.5,3,5.0,1,1,0,0,1,0,1,7,2,0.0,0.8,0.8,0.07142857142857142,0.6,0.19999999999999996,0.49428571428571433,1.0,0.8,0.6,0.0,0.6,0.8,0.2,1.0,0.6666666666666666
Male,200 Level,Computer science ,3.50 – 4.49,No,Agree,Strongly Disagree,Strongly Agree,Disagree,Neutral,Less than 1 hour,Never,Disagree,Disagree,Neutral,Disagree,Strongly Agree,Disagree,,No,No,Fair,No,Not Applicable,No,Yes,1,4.0,4,1,5,2,3,2,2,3,2,5,2,0.5,1,0.0,2,0,0,0,0,0,1,4,0,0.0,0.4,0.6,0.07142857142857142,0.2,0.6,0.3742857142857143,0.8,0.8,1.0,0.0,0.65,0.4,0.4,1.0,0.6
Female,300 Level,CSC ,4.50 – 5.00,Yes,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,1 – 2 hours,Often,Disagree,Neutral,Neutral,Agree,Neutral,Strongly Disagree,,No,No,Excellent,No,Not Applicable,No,Yes,0,4.75,4,5,4,5,5,2,3,3,4,3,1,,4,0.0,5,1,0,0,0,0,1,8,0,0.0,1.0,1.0,,0.8,0.8,0.8999999999999999,0.8,0.0,0.8,0.0,0.4,0.4,0.8,0.6,0.6000000000000001
Male,300 Level,Computer Science ,3.50 – 4.49,Yes,Agree,Neutral,Strongly Agree,Agree,Agree,1 – 2 hours,Sometimes,Agree,Neutral,Neutral,Neutral,Agree,Strongly Disagree,,No,No,Good,No,Not Applicable,Yes,Yes,1,4.0,4,3,5,4,4,4,3,3,3,4,1,,3,0.0,3,1,0,0,0,1,1,5,0,0.0,0.8,0.8,,0.6,0.8,0.75,0.8,0.4,1.0,0.0,0.55,0.8,0.6,0.8,0.7333333333333334
Male,400 Level,data science,3.50 – 4.49,Yes,Strongly Agree,Agree,Strongly Agree,Agree,Neutral,3 – 4 hours,Sometimes,Disagree,Agree,Agree,Disagree,Agree,Disagree,,No,No,Very Good,No,Not Applicable,Yes,Yes,1,4.0,5,4,5,4,3,2,4,4,2,4,2,,3,0.0,4,1,0,0,0,1,1,9,0,0.0,0.8,0.6,,0.6,0.6,0.65,1.0,0.19999999999999996,1.0,0.0,0.55,0.4,0.4,0.8,0.5333333333333333
Female,300 Level,csc,4.50 – 5.00,Yes,Agree,Agree,Neutral,Neutral,Strongly Agree,More than 6 hours,Often,Neutral,Strongly Agree,Neutral,Disagree,Disagree,Strongly Disagree,,No,No,Good,No,Not Applicable,No,Yes,0,4.75,4,4,3,3,5,3,5,3,2,2,1,7.0,4,0.0,3,1,0,0,0,0,1,0,0,0.0,0.6,1.0,1.0,0.8,0.8,0.8400000000000001,0.8,0.19999999999999996,0.6,0.0,0.4,0.6,0.4,0.4,0.4666666666666666
Female,400 Level,Business Administration,4.50 – 5.00,Yes,Strongly Disagree,Strongly Disagree,Disagree,Strongly Agree,Agree,3 – 4 hours,Often,Disagree,Strongly Agree,Strongly Disagree,Disagree,Disagree,Disagree,,No,No,Very Good,No,Not Applicable,Yes,Yes,0,4.75,1,1,2,5,4,2,5,1,2,2,2,,4,0.0,4,1,0,0,0,1,1,1,0,0.0,1.0,0.8,,0.8,0.6,0.8,0.2,0.8,0.4,0.0,0.35,0.4,0.4,0.4,0.4000000000000001
Male,400 Level,chm,2.40 – 3.49,Yes,Agree,Neutral,Agree,Agree,Disagree,3 – 4 hours,Often,Agree,Neutral,Neutral,Agree,Neutral,Neutral,,No,No,Good,No,Not Applicable,Yes,Yes,1,2.95,4,3,4,4,2,4,3,3,4,3,3,,4,0.0,3,1,0,0,0,1,1,2,1,0.0,0.8,0.4,,0.8,0.4,0.6,0.8,0.4,0.8,0.0,0.5,0.8,0.8,0.6,0.7333333333333334
Male,400 Level,Architecture,1.50 – 2.39,Yes,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,1 – 2 hours,Sometimes,Disagree,Neutral,Disagree,Neutral,Agree,Disagree,1 – 2,No,Yes,Fair,No,Not Applicable,No,No,1,1.95,5,5,5,1,1,2,3,2,3,4,2,,3,0.0,2,1,0,1,0,0,0,3,2,0.0,0.2,0.2,,0.6,0.6,0.4,1.0,0.0,1.0,0.0,0.5,0.4,0.6,0.8,0.6
Male,300 Level,Chemical Engineering,2.40 – 3.49,Yes,Neutral,Strongly Agree,Strongly Agree,Neutral,Agree,5 – 6 hours,Often,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,1 – 2,No,No,Fair,No,Not Applicable,No,Yes,1,2.95,3,5,5,3,4,5,2,1,5,4,5,,4,0.0,2,1,0,0,0,0,1,4,1,0.0,0.6,0.8,,0.8,0.0,0.55,0.6,0.0,1.0,0.0,0.4,1.0,1.0,0.8,0.9333333333333332
Female,200 Level,Pharmacology,1.50 – 2.39,Yes,Strongly Agree,Disagree,Neutral,Neutral,Agree,3 – 4 hours,Rarely,Strongly Agree,Strongly Disagree,Neutral,Strongly Agree,Agree,Strongly Agree,3 – 4,No,Yes,Good,No,Not Applicable,No,Yes,0,1.95,5,2,3,3,4,5,1,3,5,4,5,,2,0.0,3,1,0,1,0,0,1,5,2,0.0,0.6,0.8,,0.4,0.0,0.44999999999999996,1.0,0.6,0.6,0.0,0.55,1.0,1.0,0.8,0.9333333333333332
Male,200 Level,Veterinary Medicine,3.50 – 4.49,Yes,Strongly Disagree,Neutral,Disagree,Neutral,Neutral,5 – 6 hours,Often,Strongly Disagree,Agree,Agree,Disagree,Strongly Agree,Strongly Disagree,,No,No,Excellent,No,Not Applicable,No,Yes,1,4.0,1,3,2,3,3,1,4,4,2,5,1,,4,0.0,5,1,0,0,0,0,1,6,0,0.0,0.6,0.6,,0.8,0.8,0.7,0.2,0.4,0.4,0.0,0.25,0.2,0.4,1.0,0.5333333333333333
Male,300 Level,Data Science,4.50 – 5.00,No,Neutral,Neutral,Neutral,Agree,Strongly Agree,3 – 4 hours,Sometimes,Strongly Disagree,Agree,Disagree,Agree,Agree,Strongly Disagree,3 – 4,No,Yes,Very Good,No,Not Applicable,No,Yes,1,4.75,3,3,3,4,5,1,4,2,4,4,1,,3,0.0,4,0,0,1,0,0,1,7,0,0.0,0.8,1.0,,0.6,0.8,0.8,0.6,0.4,0.6,0.0,0.4,0.2,0.8,0.8,0.6
Female,300 Level,chm,3.50 – 4.49,Yes,Neutral,Neutral,Neutral,Neutral,Neutral,3 – 4 hours,Often,Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Strongly Disagree,,No,No,Good,No,Not Applicable,Yes,Yes,0,4.0,3,3,3,3,3,4,5,5,4,3,1,,4,0.0,3,1,0,0,0,1,1,2,0,0.0,0.6,0.6,,0.8,0.8,0.7,0.6,0.4,0.6,0.0,0.4,0.8,0.8,0.6,0.7333333333333334
Male,200 Level,Physics,3.50 – 4.49,Yes,Strongly Agree,Neutral,Strongly Agree,Neutral,Neutral,5 – 6 hours,Always,Strongly Disagree,Strongly Disagree,Agree,Agree,Strongly Agree,Disagree,1 – 2,No,Yes,Poor,No,Not Applicable,No,Yes,1,4.0,5,3,5,3,3,1,1,4,4,5,2,,5,0.0,1,1,0,1,0,0,1,8,0,0.0,0.6,0.6,,1.0,0.6,0.7000000000000001,1.0,0.4,1.0,0.0,0.6,0.2,0.8,1.0,0.6666666666666666
Female,200 Level,Statistics,Below 1.50,No,Strongly Agree,Agree,Agree,Disagree,Neutral,Less than 1 hour,Never,Strongly Agree,Disagree,Agree,Agree,Agree,Strongly Agree,3 – 4,Yes,No,Poor,Yes,11 – 20 hours,No,Yes,0,1.0,5,4,4,2,3,5,2,4,4,4,5,0.5,1,0.0,1,0,1,0,1,0,1,9,2,0.0,0.4,0.6,0.07142857142857142,0.2,0.0,0.2542857142857143,1.0,0.19999999999999996,0.8,0.0,0.5,1.0,0.8,0.8,0.8666666666666667
Male,200 Level,Urban and Regional Planning,3.50 – 4.49,Yes,Agree,Agree,Disagree,Agree,Strongly Agree,3 – 4 hours,Often,Neutral,Neutral,Strongly Disagree,Strongly Disagree,Agree,Disagree,,No,No,Very Good,Yes,11 – 20 hours,Yes,Yes,1,4.0,4,4,2,4,5,3,3,1,1,4,2,,4,0.0,4,1,0,0,1,1,1,0,0,0.0,0.8,1.0,,0.8,0.6,0.8,0.8,0.19999999999999996,0.4,0.0,0.35,0.6,0.2,0.8,0.5333333333333333
Female,300 Level,Mathematics,2.40 – 3.49,Yes,Neutral,Disagree,Neutral,Agree,Strongly Disagree,3 – 4 hours,Often,Agree,Strongly Agree,Agree,Agree,Neutral,Neutral,1 – 2,No,No,Good,No,Not Applicable,No,Yes,0,2.95,3,2,3,4,1,4,5,4,4,3,3,,4,0.0,3,1,0,0,0,0,1,1,1,0.0,0.8,0.2,,0.8,0.4,0.55,0.6,0.6,0.6,0.0,0.44999999999999996,0.8,0.8,0.6,0.7333333333333334
Male,200 Level,Environmental Science,3.50 – 4.49,Yes,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Neutral,5 – 6 hours,Sometimes,Disagree,Neutral,Agree,Neutral,Neutral,Agree,,No,No,Excellent,No,Not Applicable,Yes,Yes,1,4.0,1,5,4,5,3,2,3,4,3,3,4,,3,0.0,5,1,0,0,0,1,1,2,0,0.0,1.0,0.6,,0.6,0.19999999999999996,0.6000000000000001,0.2,0.0,0.8,0.0,0.25,0.4,0.6,0.6,0.5333333333333333
Male,400 Level,Geology,3.50 – 4.49,No,Agree,Neutral,Agree,Strongly Agree,Agree,5 – 6 hours,Sometimes,Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Agree,1 – 2,No,No,Very Good,Yes,5 – 10 hours,No,Yes,1,4.0,4,3,4,5,4,4,4,5,5,3,4,,3,0.0,4,0,0,0,1,0,1,3,0,0.0,1.0,0.8,,0.6,0.19999999999999996,0.6499999999999999,0.8,0.4,0.8,0.0,0.5,0.8,1.0,0.6,0.7999999999999999
Male,400 Level,Finance,4.50 – 5.00,Yes,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,5 – 6 hours,Always,Disagree,Strongly Agree,Strongly Disagree,Disagree,Agree,Disagree,,No,No,Good,No,Not Applicable,Yes,Yes,1,4.75,1,5,1,5,4,2,5,1,2,4,2,,5,0.0,3,1,0,0,0,1,1,4,0,0.0,1.0,0.8,,1.0,0.6,0.85,0.2,0.0,0.2,0.0,0.1,0.4,0.4,0.8,0.5333333333333333
Male,300 Level,Mechanical Engineering,4.50 – 5.00,Yes,Disagree,Agree,Neutral,Agree,Strongly Agree,5 – 6 hours,Always,Agree,Neutral,Neutral,Agree,Disagree,Disagree,,No,No,Very Good,No,Not Applicable,No,Yes,1,4.75,2,4,3,4,5,4,3,3,4,2,2,,5,0.0,4,1,0,0,0,0,1,5,0,0.0,0.8,1.0,,1.0,0.6,0.85,0.4,0.19999999999999996,0.6,0.0,0.3,0.8,0.8,0.4,0.6666666666666666
Male,300 Level,Data Science,3.50 – 4.49,Yes,Neutral,Neutral,Agree,Agree,Neutral,1 – 2 hours,Often,Neutral,Agree,Agree,Agree,Neutral,Disagree,,No,No,Fair,No,Not Applicable,Yes,Yes,1,4.0,3,3,4,4,3,3,4,4,4,3,2,,4,0.0,2,1,0,0,0,1,1,7,0,0.0,0.8,0.6,,0.8,0.6,0.7000000000000001,0.6,0.4,0.8,0.0,0.45,0.6,0.8,0.6,0.6666666666666666
Female,400 Level,fst,2.40 – 3.49,No,Agree,Disagree,Agree,Strongly Disagree,Neutral,More than 6 hours,Never,Agree,Strongly Agree,Agree,Neutral,Strongly Agree,Agree,3 – 4,No,Yes,Fair,Yes,11 – 20 hours,Yes,No,0,2.95,4,2,4,1,3,4,5,4,3,5,4,7.0,1,0.0,2,0,0,1,1,1,0,6,1,0.0,0.2,0.6,1.0,0.2,0.19999999999999996,0.44000000000000006,0.8,0.6,0.8,0.0,0.55,0.8,0.6,1.0,0.7999999999999999
